"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-02-28,60549,"07034","NJ","New York-Newark-Jersey City","Morris County","Parsippany-Troy Hills",9043,321800,0.000621890547263682,0.0157828282828283,0.132301196340605,0.0501155748622077,0.00439266475013467,"2006-06","2006-Q2",361400,-0.109573879358052,"2005-03"
2019-02-28,66994,"21713","MD","Hagerstown-Martinsburg","Washington County","Boonsboro",9044,257400,-0.00425531914893617,-0.012279355333845,0.0404203718674212,0.0367509104310781,0.0136341261445043,"2006-08","2006-Q3",301300,-0.145701958181215,"2005-03"
2019-02-28,91845,"77331","TX",,"San Jacinto County","Coldspring",9045,161100,-0.000620347394540943,0.00311332503113325,0.0812080536912752,0.0626316258507933,0.034734680714317,"2019-01","2019-Q1",161200,-0.000620347394540943,"2019-01"
2019-02-28,98162,"95386","CA","Modesto","Stanislaus County","Waterford",9046,269700,-0.00111111111111111,0.0135287485907554,0.0445391169635941,0.102996617700243,0.0574982498001904,"2006-05","2006-Q2",329400,-0.181238615664845,"2005-02"
2019-02-28,78072,"46280","IN","Indianapolis-Carmel-Anderson","Marion County","Indianapolis",9047,200500,0.00804424333836098,0.0266257040450589,0.113888888888889,0.0703802342413271,0.0274736408458234,"2019-02","2019-Q1",200500,0,"2019-02"
2019-02-28,58861,"02675","MA","Barnstable Town","Barnstable County","Yarmouth",9048,392300,-0.00355600711201422,-0.00304955527318933,0.05372011818426,0.0416475905202487,0.0237918174847989,"2018-12","2018-Q4",394600,-0.00582868727825646,"2018-11"
2019-02-28,79626,"49240","MI","Jackson","Jackson County","Grass Lake",9049,227900,0.00131810193321617,0,0.0770321361058601,0.0819671907053776,0.0455363752168847,"2019-02","2019-Q1",227900,0,"2019-02"
2019-02-28,65752,"19081","PA","Philadelphia-Camden-Wilmington","Delaware County","Swarthmore",9050,292800,0.00136798905608755,0.0096551724137931,0.0608695652173913,0.0322757560892093,0.00888955967980953,"2006-12","2006-Q4",297200,-0.0148048452220727,"2006-08"
2019-02-28,68193,"24531","VA","Danville","Pittsylvania County","Chatham",9051,86700,0.00115473441108545,0.0140350877192982,0.0272511848341232,0.0162155171317482,-0.00182695147107703,"2007-06","2007-Q2",92600,-0.0637149028077754,"2006-01"
2019-02-28,92736,"78942","TX",,"Lee County","Giddings",9052,140000,-0.00355871886120996,0.00143061516452074,0.0630220197418375,0.0637191655386302,0.0323762994517922,"2018-12","2018-Q4",140700,-0.00497512437810945,"2018-12"
